PING 202.112.35.231 (202.112.35.231) 56(84) bytes of data.
64 bytes from 202.112.35.231: icmp_seq=312 ttl=61 time=4.66 ms
64 bytes from 202.112.35.231: icmp_seq=313 ttl=61 time=35.4 ms
64 bytes from 202.112.35.231: icmp_seq=314 ttl=61 time=11.4 ms
64 bytes from 202.112.35.231: icmp_seq=315 ttl=61 time=8.69 ms
64 bytes from 202.112.35.231: icmp_seq=316 ttl=61 time=21.7 ms
64 bytes from 202.112.35.231: icmp_seq=317 ttl=61 time=11.6 ms
64 bytes from 202.112.35.231: icmp_seq=318 ttl=61 time=16.2 ms
64 bytes from 202.112.35.231: icmp_seq=319 ttl=61 time=18.9 ms
64 bytes from 202.112.35.231: icmp_seq=320 ttl=61 time=13.1 ms
64 bytes from 202.112.35.231: icmp_seq=321 ttl=61 time=14.3 ms
64 bytes from 202.112.35.231: icmp_seq=322 ttl=61 time=156 ms
64 bytes from 202.112.35.231: icmp_seq=323 ttl=61 time=5.60 ms
64 bytes from 202.112.35.231: icmp_seq=324 ttl=61 time=29.0 ms
64 bytes from 202.112.35.231: icmp_seq=325 ttl=61 time=32.5 ms
64 bytes from 202.112.35.231: icmp_seq=326 ttl=61 time=18.1 ms
64 bytes from 202.112.35.231: icmp_seq=327 ttl=61 time=28.2 ms
64 bytes from 202.112.35.231: icmp_seq=328 ttl=61 time=14.2 ms
64 bytes from 202.112.35.231: icmp_seq=329 ttl=61 time=16.5 ms
64 bytes from 202.112.35.231: icmp_seq=330 ttl=61 time=5.62 ms
64 bytes from 202.112.35.231: icmp_seq=331 ttl=61 time=110 ms
64 bytes from 202.112.35.231: icmp_seq=332 ttl=61 time=242 ms
64 bytes from 202.112.35.231: icmp_seq=333 ttl=61 time=54.2 ms
64 bytes from 202.112.35.231: icmp_seq=334 ttl=61 time=84.7 ms
64 bytes from 202.112.35.231: icmp_seq=335 ttl=61 time=148 ms
64 bytes from 202.112.35.231: icmp_seq=336 ttl=61 time=19.4 ms
64 bytes from 202.112.35.231: icmp_seq=337 ttl=61 time=30.3 ms
64 bytes from 202.112.35.231: icmp_seq=338 ttl=61 time=132 ms
64 bytes from 202.112.35.231: icmp_seq=339 ttl=61 time=30.8 ms
64 bytes from 202.112.35.231: icmp_seq=340 ttl=61 time=13.1 ms
64 bytes from 202.112.35.231: icmp_seq=341 ttl=61 time=47.1 ms
64 bytes from 202.112.35.231: icmp_seq=342 ttl=61 time=19.5 ms
64 bytes from 202.112.35.231: icmp_seq=343 ttl=61 time=356 ms
64 bytes from 202.112.35.231: icmp_seq=344 ttl=61 time=12.2 ms
64 bytes from 202.112.35.231: icmp_seq=345 ttl=61 time=14.5 ms
64 bytes from 202.112.35.231: icmp_seq=346 ttl=61 time=29.9 ms
64 bytes from 202.112.35.231: icmp_seq=347 ttl=61 time=76.5 ms
64 bytes from 202.112.35.231: icmp_seq=348 ttl=61 time=11.5 ms
64 bytes from 202.112.35.231: icmp_seq=349 ttl=61 time=33.0 ms
64 bytes from 202.112.35.231: icmp_seq=350 ttl=61 time=806 ms
64 bytes from 202.112.35.231: icmp_seq=351 ttl=61 time=10.3 ms
64 bytes from 202.112.35.231: icmp_seq=352 ttl=61 time=12.7 ms
64 bytes from 202.112.35.231: icmp_seq=353 ttl=61 time=5.17 ms
64 bytes from 202.112.35.231: icmp_seq=354 ttl=61 time=229 ms
64 bytes from 202.112.35.231: icmp_seq=355 ttl=61 time=95.8 ms
64 bytes from 202.112.35.231: icmp_seq=356 ttl=61 time=105 ms
64 bytes from 202.112.35.231: icmp_seq=357 ttl=61 time=40.8 ms
64 bytes from 202.112.35.231: icmp_seq=358 ttl=61 time=60.8 ms
64 bytes from 202.112.35.231: icmp_seq=359 ttl=61 time=85.5 ms
64 bytes from 202.112.35.231: icmp_seq=360 ttl=61 time=3.87 ms
64 bytes from 202.112.35.231: icmp_seq=361 ttl=61 time=316 ms

--- 202.112.35.231 ping statistics ---
361 packets transmitted, 351 received, 2% packet loss, time 360525ms
rtt min/avg/max/mdev = 3.873/63.807/1226.611/140.045 ms, pipe 2
